destination_iso_country,Day of date,fl_ranking,fl_wow_change,fl_yoy_change,destination_country,flights_number_7days
PG,"February 8, 2021",1,270.23%,49.23%,Papua New Guinea,485
NR,"February 8, 2021",7,,-88.89%,Nauru,1
KI,"February 8, 2021",6,,-87.50%,Kiribati,1
FM,"February 8, 2021",5,0.00%,-96.30%,Micronesia (Federated States of),1
FJ,"February 8, 2021",2,18.60%,-82.11%,Fiji,51
WS,"February 9, 2021",8,0.00%,-95.83%,Samoa,1
VU,"February 9, 2021",3,-6.98%,-38.46%,Vanuatu,40
TO,"February 9, 2021",7,0.00%,-92.31%,Tonga,1
SB,"February 9, 2021",4,-25.00%,-87.50%,Solomon Islands,3
PG,"February 9, 2021",1,287.68%,61.14%,Papua New Guinea,535
NR,"February 9, 2021",6,,-88.89%,Nauru,1
FM,"February 9, 2021",5,0.00%,-96.00%,Micronesia (Federated States of),1
FJ,"February 9, 2021",2,23.81%,-81.63%,Fiji,52
WS,"February 10, 2021",9,0.00%,-95.83%,Samoa,1
VU,"February 10, 2021",3,-6.98%,-38.46%,Vanuatu,40
TO,"February 10, 2021",8,0.00%,-92.31%,Tonga,1
SB,"February 10, 2021",4,-25.00%,-86.96%,Solomon Islands,3
PG,"February 10, 2021",1,182.80%,59.39%,Papua New Guinea,526
NR,"February 10, 2021",7,,-88.89%,Nauru,1
MH,"February 10, 2021",6,,-83.33%,Marshall Islands (the),1
FM,"February 10, 2021",5,0.00%,-95.83%,Micronesia (Federated States of),1
FJ,"February 10, 2021",2,0.00%,-83.68%,Fiji,47
WS,"February 11, 2021",9,0.00%,-95.65%,Samoa,1
VU,"February 11, 2021",3,-7.14%,-40.00%,Vanuatu,39
TO,"February 11, 2021",6,100.00%,-84.62%,Tonga,2
SB,"February 11, 2021",4,0.00%,-86.36%,Solomon Islands,3
PG,"February 11, 2021",1,125.52%,61.38%,Papua New Guinea,539
NR,"February 11, 2021",8,,-90.00%,Nauru,1
MH,"February 11, 2021",7,,-83.33%,Marshall Islands (the),1
FM,"February 11, 2021",5,100.00%,-91.67%,Micronesia (Federated States of),2
FJ,"February 11, 2021",2,-10.20%,-84.72%,Fiji,44
WS,"February 12, 2021",8,100.00%,-91.67%,Samoa,2
VU,"February 12, 2021",3,-11.63%,-41.54%,Vanuatu,38
TO,"February 12, 2021",7,100.00%,-83.33%,Tonga,2
SB,"February 12, 2021",4,50.00%,-86.36%,Solomon Islands,3
PG,"February 12, 2021",1,71.90%,52.02%,Papua New Guinea,526
MH,"February 12, 2021",6,,-71.43%,Marshall Islands (the),2
FM,"February 12, 2021",5,100.00%,-92.00%,Micronesia (Federated States of),2
FJ,"February 12, 2021",2,-24.07%,-85.86%,Fiji,41
WS,"February 13, 2021",7,100.00%,-92.00%,Samoa,2
VU,"February 13, 2021",3,-15.56%,-38.71%,Vanuatu,38
TO,"February 13, 2021",6,100.00%,-83.33%,Tonga,2
SB,"February 13, 2021",4,50.00%,-86.36%,Solomon Islands,3
PG,"February 13, 2021",1,44.63%,48.31%,Papua New Guinea,525
MH,"February 13, 2021",5,,-71.43%,Marshall Islands (the),2
FM,"February 13, 2021",8,0.00%,-96.00%,Micronesia (Federated States of),1
FJ,"February 13, 2021",2,-33.33%,-86.11%,Fiji,40
WS,"February 14, 2021",7,100.00%,-91.67%,Samoa,2
VU,"February 14, 2021",3,-4.88%,-33.90%,Vanuatu,39
TO,"February 14, 2021",6,100.00%,-83.33%,Tonga,2
SB,"February 14, 2021",5,-33.33%,-90.48%,Solomon Islands,2
PG,"February 14, 2021",1,25.89%,49.72%,Papua New Guinea,530
MH,"February 14, 2021",4,,-75.00%,Marshall Islands (the),2
FM,"February 14, 2021",8,0.00%,-95.65%,Micronesia (Federated States of),1
FJ,"February 14, 2021",2,-28.07%,-85.66%,Fiji,41
WS,"February 15, 2021",4,200.00%,-88.00%,Samoa,3
VU,"February 15, 2021",3,-11.90%,-36.21%,Vanuatu,37
TO,"February 15, 2021",7,100.00%,-85.71%,Tonga,2
SB,"February 15, 2021",6,0.00%,-90.00%,Solomon Islands,2
PG,"February 15, 2021",1,5.98%,44.79%,Papua New Guinea,514
MH,"February 15, 2021",5,,-75.00%,Marshall Islands (the),2
FM,"February 15, 2021",8,0.00%,-95.65%,Micronesia (Federated States of),1
FJ,"February 15, 2021",2,-15.69%,-84.91%,Fiji,43
WS,"February 16, 2021",4,200.00%,-86.96%,Samoa,3
VU,"February 16, 2021",3,-10.00%,-30.77%,Vanuatu,36
TO,"February 16, 2021",6,100.00%,-85.71%,Tonga,2
SB,"February 16, 2021",9,-66.67%,-95.00%,Solomon Islands,1
PW,"February 16, 2021",8,,-95.24%,Palau,1
PG,"February 16, 2021",1,-8.04%,39.77%,Papua New Guinea,492
MH,"February 16, 2021",5,,-75.00%,Marshall Islands (the),2
FM,"February 16, 2021",7,0.00%,-96.00%,Micronesia (Federated States of),1
FJ,"February 16, 2021",2,-21.15%,-85.51%,Fiji,41
WS,"February 17, 2021",5,200.00%,-87.50%,Samoa,3
VU,"February 17, 2021",3,-15.00%,-30.61%,Vanuatu,34
TO,"February 17, 2021",4,200.00%,-78.57%,Tonga,3
SB,"February 17, 2021",10,-66.67%,-95.00%,Solomon Islands,1
PW,"February 17, 2021",9,,-95.24%,Palau,1
PG,"February 17, 2021",1,-8.56%,35.88%,Papua New Guinea,481
NR,"February 17, 2021",8,0.00%,-90.91%,Nauru,1
MH,"February 17, 2021",7,0.00%,-88.89%,Marshall Islands (the),1
FM,"February 17, 2021",6,0.00%,-96.15%,Micronesia (Federated States of),1
FJ,"February 17, 2021",2,-6.38%,-84.23%,Fiji,44
WS,"February 18, 2021",5,200.00%,-88.46%,Samoa,3
VU,"February 18, 2021",3,-10.26%,-23.91%,Vanuatu,35
TO,"February 18, 2021",6,0.00%,-85.71%,Tonga,2
SB,"February 18, 2021",4,0.00%,-85.71%,Solomon Islands,3
PW,"February 18, 2021",9,,-95.45%,Palau,1
PG,"February 18, 2021",1,-16.88%,24.79%,Papua New Guinea,448
NR,"February 18, 2021",8,0.00%,-90.00%,Nauru,1
MH,"February 18, 2021",7,0.00%,-90.91%,Marshall Islands (the),1
FJ,"February 18, 2021",2,6.82%,-82.78%,Fiji,47
WS,"February 19, 2021",7,0.00%,-92.59%,Samoa,2
VU,"February 19, 2021",3,-5.26%,-21.74%,Vanuatu,36
TO,"February 19, 2021",6,0.00%,-86.67%,Tonga,2
SB,"February 19, 2021",4,0.00%,-84.21%,Solomon Islands,3
PW,"February 19, 2021",8,,-95.45%,Palau,1
PG,"February 19, 2021",1,-17.11%,24.22%,Papua New Guinea,436
NR,"February 19, 2021",5,,-75.00%,Nauru,2
FJ,"February 19, 2021",2,9.76%,-83.27%,Fiji,45
WS,"February 20, 2021",7,0.00%,-93.55%,Samoa,2
VU,"February 20, 2021",3,-10.53%,-30.61%,Vanuatu,34
TO,"February 20, 2021",6,0.00%,-86.67%,Tonga,2
SB,"February 20, 2021",4,0.00%,-84.21%,Solomon Islands,3
PW,"February 20, 2021",8,,-95.65%,Palau,1
PG,"February 20, 2021",1,-17.90%,24.57%,Papua New Guinea,431
NR,"February 20, 2021",5,,-71.43%,Nauru,2
FJ,"February 20, 2021",2,15.00%,-82.71%,Fiji,46
WS,"February 21, 2021",7,0.00%,-93.75%,Samoa,2
VU,"February 21, 2021",3,-17.95%,-37.25%,Vanuatu,32
TO,"February 21, 2021",6,0.00%,-86.67%,Tonga,2
SB,"February 21, 2021",4,50.00%,-85.71%,Solomon Islands,3
PW,"February 21, 2021",8,,-95.45%,Palau,1
PG,"February 21, 2021",1,-21.13%,24.78%,Papua New Guinea,418
NR,"February 21, 2021",5,,-75.00%,Nauru,2
FJ,"February 21, 2021",2,21.95%,-80.77%,Fiji,50
WS,"February 22, 2021",8,-66.67%,-96.88%,Samoa,1
VU,"February 22, 2021",3,-8.11%,-32.00%,Vanuatu,34
TO,"February 22, 2021",6,0.00%,-86.67%,Tonga,2
SB,"February 22, 2021",4,50.00%,-85.71%,Solomon Islands,3
PW,"February 22, 2021",7,,-95.24%,Palau,1
PG,"February 22, 2021",1,-18.09%,26.43%,Papua New Guinea,421
NR,"February 22, 2021",5,,-71.43%,Nauru,2
FJ,"February 22, 2021",2,16.28%,-80.31%,Fiji,50
WS,"February 23, 2021",7,-66.67%,-97.06%,Samoa,1
VU,"February 23, 2021",3,-5.56%,-39.29%,Vanuatu,34
TO,"February 23, 2021",6,0.00%,-86.67%,Tonga,2
SB,"February 23, 2021",4,200.00%,-86.36%,Solomon Islands,3
PG,"February 23, 2021",1,-9.35%,35.56%,Papua New Guinea,446
NR,"February 23, 2021",5,,-71.43%,Nauru,2
FJ,"February 23, 2021",2,24.39%,-79.92%,Fiji,51
WS,"February 24, 2021",7,-66.67%,-97.06%,Samoa,1
VU,"February 24, 2021",3,2.94%,-40.68%,Vanuatu,35
TO,"February 24, 2021",6,-66.67%,-93.33%,Tonga,1
SB,"February 24, 2021",4,200.00%,-85.71%,Solomon Islands,3
PG,"February 24, 2021",1,-3.74%,39.88%,Papua New Guinea,463
NR,"February 24, 2021",5,0.00%,-85.71%,Nauru,1
FJ,"February 24, 2021",2,11.36%,-80.32%,Fiji,49
WS,"February 25, 2021",7,-66.67%,-96.97%,Samoa,1
VU,"February 25, 2021",3,0.00%,-45.31%,Vanuatu,35
TO,"February 25, 2021",5,0.00%,-87.50%,Tonga,2
SB,"February 25, 2021",4,0.00%,-85.71%,Solomon Islands,3
PG,"February 25, 2021",1,9.15%,50.46%,Papua New Guinea,489
NR,"February 25, 2021",6,0.00%,-85.71%,Nauru,1
FJ,"February 25, 2021",2,4.26%,-80.32%,Fiji,49
WS,"February 26, 2021",6,-50.00%,-97.06%,Samoa,1
VU,"February 26, 2021",3,-13.89%,-52.31%,Vanuatu,31
TO,"February 26, 2021",5,0.00%,-87.50%,Tonga,2
SB,"February 26, 2021",4,0.00%,-86.36%,Solomon Islands,3
PG,"February 26, 2021",1,15.37%,52.89%,Papua New Guinea,503
FJ,"February 26, 2021",2,20.00%,-78.74%,Fiji,54
WS,"February 27, 2021",8,-50.00%,-96.97%,Samoa,1
VU,"February 27, 2021",3,-2.94%,-50.75%,Vanuatu,33
TO,"February 27, 2021",5,0.00%,-86.67%,Tonga,2
SB,"February 27, 2021",4,0.00%,-86.36%,Solomon Islands,3
PW,"February 27, 2021",7,0.00%,-94.74%,Palau,1
PG,"February 27, 2021",1,17.63%,59.94%,Papua New Guinea,507
FM,"February 27, 2021",6,,-93.75%,Micronesia (Federated States of),1
FJ,"February 27, 2021",2,30.43%,-76.74%,Fiji,60
WS,"February 28, 2021",8,-50.00%,-96.97%,Samoa,1
VU,"February 28, 2021",3,6.25%,-49.25%,Vanuatu,34
TO,"February 28, 2021",5,0.00%,-87.50%,Tonga,2
SB,"February 28, 2021",4,0.00%,-85.71%,Solomon Islands,3
PW,"February 28, 2021",7,0.00%,-95.00%,Palau,1
PG,"February 28, 2021",1,23.68%,63.61%,Papua New Guinea,517
FM,"February 28, 2021",6,,-92.86%,Micronesia (Federated States of),1
FJ,"February 28, 2021",2,24.00%,-76.34%,Fiji,62
WS,"March 1, 2021",6,100.00%,-93.94%,Samoa,2
VU,"March 1, 2021",3,-2.94%,-51.47%,Vanuatu,33
TO,"March 1, 2021",5,0.00%,-87.50%,Tonga,2
SB,"March 1, 2021",4,0.00%,-85.00%,Solomon Islands,3
PW,"March 1, 2021",8,0.00%,-95.00%,Palau,1
PG,"March 1, 2021",1,19.95%,59.31%,Papua New Guinea,505
FM,"March 1, 2021",7,,-93.33%,Micronesia (Federated States of),1
FJ,"March 1, 2021",2,48.00%,-72.28%,Fiji,74
WS,"March 2, 2021",6,100.00%,-93.94%,Samoa,2
VU,"March 2, 2021",3,0.00%,-50.00%,Vanuatu,34
TO,"March 2, 2021",5,50.00%,-81.25%,Tonga,3
SB,"March 2, 2021",4,0.00%,-84.21%,Solomon Islands,3
PW,"March 2, 2021",8,,-94.74%,Palau,1
PG,"March 2, 2021",1,9.19%,58.12%,Papua New Guinea,487
FM,"March 2, 2021",7,,-95.24%,Micronesia (Federated States of),1
FJ,"March 2, 2021",2,70.59%,-68.01%,Fiji,87
WS,"March 3, 2021",6,100.00%,-93.55%,Samoa,2
VU,"March 3, 2021",3,-5.71%,-51.47%,Vanuatu,33
TO,"March 3, 2021",4,400.00%,-68.75%,Tonga,5
SB,"March 3, 2021",5,0.00%,-84.21%,Solomon Islands,3
PW,"March 3, 2021",8,,-94.44%,Palau,1
PG,"March 3, 2021",1,3.02%,57.43%,Papua New Guinea,477
FM,"March 3, 2021",7,,-95.83%,Micronesia (Federated States of),1
FJ,"March 3, 2021",2,95.92%,-65.71%,Fiji,96
WS,"March 4, 2021",6,100.00%,-93.75%,Samoa,2
VU,"March 4, 2021",3,-5.71%,-49.23%,Vanuatu,33
TO,"March 4, 2021",4,50.00%,-80.00%,Tonga,3
SB,"March 4, 2021",5,-33.33%,-88.89%,Solomon Islands,2
PW,"March 4, 2021",8,,-94.44%,Palau,1
PG,"March 4, 2021",1,-2.86%,65.51%,Papua New Guinea,475
FM,"March 4, 2021",7,,-96.15%,Micronesia (Federated States of),1
FJ,"March 4, 2021",2,120.41%,-62.24%,Fiji,108
WS,"March 5, 2021",6,100.00%,-93.55%,Samoa,2
VU,"March 5, 2021",3,9.68%,-44.26%,Vanuatu,34
TO,"March 5, 2021",4,50.00%,-80.00%,Tonga,3
SB,"March 5, 2021",5,-33.33%,-89.47%,Solomon Islands,2
PW,"March 5, 2021",10,,-94.74%,Palau,1
PG,"March 5, 2021",1,-6.36%,65.26%,Papua New Guinea,471
NR,"March 5, 2021",9,,-85.71%,Nauru,1
MH,"March 5, 2021",8,,-90.00%,Marshall Islands (the),1
FM,"March 5, 2021",7,,-95.83%,Micronesia (Federated States of),1
FJ,"March 5, 2021",2,109.26%,-60.35%,Fiji,113
WS,"March 6, 2021",6,100.00%,-93.33%,Samoa,2
VU,"March 6, 2021",3,-12.12%,-50.85%,Vanuatu,29
TO,"March 6, 2021",4,50.00%,-81.25%,Tonga,3
SB,"March 6, 2021",5,-33.33%,-89.47%,Solomon Islands,2
PG,"March 6, 2021",1,-7.69%,60.27%,Papua New Guinea,468
NR,"March 6, 2021",10,,-85.71%,Nauru,1
MH,"March 6, 2021",9,,-90.91%,Marshall Islands (the),1
KI,"March 6, 2021",8,,-85.71%,Kiribati,1
FM,"March 6, 2021",7,0.00%,-95.83%,Micronesia (Federated States of),1
FJ,"March 6, 2021",2,98.33%,-58.10%,Fiji,119
WS,"March 7, 2021",6,100.00%,-93.55%,Samoa,2
VU,"March 7, 2021",3,-17.65%,-51.72%,Vanuatu,28
TO,"March 7, 2021",4,50.00%,-78.57%,Tonga,3
SB,"March 7, 2021",5,-33.33%,-89.47%,Solomon Islands,2
PW,"March 7, 2021",11,0.00%,-94.12%,Palau,1
PG,"March 7, 2021",1,-13.35%,50.84%,Papua New Guinea,448
NR,"March 7, 2021",10,,-87.50%,Nauru,1
MH,"March 7, 2021",9,,-90.91%,Marshall Islands (the),1
KI,"March 7, 2021",8,,-85.71%,Kiribati,1
FM,"March 7, 2021",7,0.00%,-96.15%,Micronesia (Federated States of),1
FJ,"March 7, 2021",2,103.23%,-54.68%,Fiji,126
WS,"March 8, 2021",11,-50.00%,-96.55%,Samoa,1
VU,"March 8, 2021",3,-15.15%,-50.88%,Vanuatu,28
TO,"March 8, 2021",4,50.00%,-76.92%,Tonga,3
SB,"March 8, 2021",6,-33.33%,-90.00%,Solomon Islands,2
PW,"March 8, 2021",10,0.00%,-94.12%,Palau,1
PG,"March 8, 2021",1,-11.09%,55.36%,Papua New Guinea,449
NR,"March 8, 2021",9,,-87.50%,Nauru,1
MH,"March 8, 2021",5,,-83.33%,Marshall Islands (the),2
KI,"March 8, 2021",8,,-85.71%,Kiribati,1
FM,"March 8, 2021",7,0.00%,-96.00%,Micronesia (Federated States of),1
FJ,"March 8, 2021",2,70.27%,-54.68%,Fiji,126
WS,"March 9, 2021",11,-50.00%,-96.55%,Samoa,1
VU,"March 9, 2021",3,-14.71%,-49.12%,Vanuatu,29
TO,"March 9, 2021",6,-33.33%,-84.62%,Tonga,2
SB,"March 9, 2021",5,-33.33%,-90.00%,Solomon Islands,2
PW,"March 9, 2021",10,0.00%,-94.12%,Palau,1
PG,"March 9, 2021",1,-7.39%,52.36%,Papua New Guinea,451
NR,"March 9, 2021",9,,-87.50%,Nauru,1
MH,"March 9, 2021",4,,-83.33%,Marshall Islands (the),2
KI,"March 9, 2021",8,,-85.71%,Kiribati,1
FM,"March 9, 2021",7,0.00%,-96.00%,Micronesia (Federated States of),1
FJ,"March 9, 2021",2,36.78%,-56.09%,Fiji,119
WS,"March 10, 2021",11,-50.00%,-96.97%,Samoa,1
VU,"March 10, 2021",3,-9.09%,-46.43%,Vanuatu,30
TO,"March 10, 2021",10,-80.00%,-92.31%,Tonga,1
SB,"March 10, 2021",5,-33.33%,-90.48%,Solomon Islands,2
PW,"March 10, 2021",9,0.00%,-94.12%,Palau,1
PG,"March 10, 2021",1,-5.45%,50.33%,Papua New Guinea,451
NR,"March 10, 2021",8,,-87.50%,Nauru,1
MH,"March 10, 2021",4,,-81.82%,Marshall Islands (the),2
KI,"March 10, 2021",7,,-85.71%,Kiribati,1
FM,"March 10, 2021",6,0.00%,-95.83%,Micronesia (Federated States of),1
FJ,"March 10, 2021",2,17.71%,-57.68%,Fiji,113
WS,"March 11, 2021",11,-50.00%,-96.97%,Samoa,1
VU,"March 11, 2021",3,-12.12%,-49.12%,Vanuatu,29
TO,"March 11, 2021",10,-66.67%,-92.86%,Tonga,1
SB,"March 11, 2021",6,0.00%,-90.48%,Solomon Islands,2
PW,"March 11, 2021",5,100.00%,-88.24%,Palau,2
PG,"March 11, 2021",1,-7.37%,43.79%,Papua New Guinea,440
NR,"March 11, 2021",9,,-87.50%,Nauru,1
MH,"March 11, 2021",4,,-80.00%,Marshall Islands (the),2
KI,"March 11, 2021",8,,-85.71%,Kiribati,1
FM,"March 11, 2021",7,0.00%,-96.00%,Micronesia (Federated States of),1
FJ,"March 11, 2021",2,-3.70%,-59.85%,Fiji,104
WS,"March 12, 2021",10,-50.00%,-96.77%,Samoa,1
VU,"March 12, 2021",3,-8.82%,-48.33%,Vanuatu,31
TO,"March 12, 2021",6,-33.33%,-85.71%,Tonga,2
SB,"March 12, 2021",5,0.00%,-90.48%,Solomon Islands,2
PW,"March 12, 2021",4,100.00%,-88.24%,Palau,2
PG,"March 12, 2021",1,-6.58%,50.68%,Papua New Guinea,440
MH,"March 12, 2021",9,0.00%,-90.00%,Marshall Islands (the),1
KI,"March 12, 2021",8,,-85.71%,Kiribati,1
FM,"March 12, 2021",7,0.00%,-96.30%,Micronesia (Federated States of),1
FJ,"March 12, 2021",2,-16.81%,-63.57%,Fiji,94
WS,"March 13, 2021",9,-50.00%,-96.88%,Samoa,1
VU,"March 13, 2021",3,24.14%,-40.00%,Vanuatu,36
TO,"March 13, 2021",6,-33.33%,-85.71%,Tonga,2
SB,"March 13, 2021",5,0.00%,-90.48%,Solomon Islands,2
PW,"March 13, 2021",4,,-88.24%,Palau,2
PG,"March 13, 2021",1,-5.98%,55.48%,Papua New Guinea,440
MH,"March 13, 2021",8,0.00%,-88.89%,Marshall Islands (the),1
KI,"March 13, 2021",7,0.00%,-85.71%,Kiribati,1
FJ,"March 13, 2021",2,-31.09%,-67.72%,Fiji,82
WS,"March 14, 2021",10,-50.00%,-96.67%,Samoa,1
VU,"March 14, 2021",3,35.71%,-38.71%,Vanuatu,38
TO,"March 14, 2021",5,-33.33%,-86.67%,Tonga,2
SB,"March 14, 2021",4,50.00%,-85.71%,Solomon Islands,3
PW,"March 14, 2021",9,0.00%,-94.44%,Palau,1
PG,"March 14, 2021",1,-4.02%,55.23%,Papua New Guinea,430
MH,"March 14, 2021",8,0.00%,-87.50%,Marshall Islands (the),1
KI,"March 14, 2021",7,0.00%,-83.33%,Kiribati,1
FM,"March 14, 2021",6,0.00%,-96.00%,Micronesia (Federated States of),1
FJ,"March 14, 2021",2,-44.44%,-72.55%,Fiji,70
WS,"March 15, 2021",11,0.00%,-96.55%,Samoa,1
VU,"March 15, 2021",3,35.71%,-40.63%,Vanuatu,38
TO,"March 15, 2021",5,0.00%,-81.25%,Tonga,3
SB,"March 15, 2021",4,50.00%,-85.71%,Solomon Islands,3
PW,"March 15, 2021",10,0.00%,-94.44%,Palau,1
PG,"March 15, 2021",1,-8.02%,49.10%,Papua New Guinea,413
NR,"March 15, 2021",9,0.00%,-88.89%,Nauru,1
MH,"March 15, 2021",8,-50.00%,-85.71%,Marshall Islands (the),1
KI,"March 15, 2021",7,0.00%,-85.71%,Kiribati,1
FM,"March 15, 2021",6,0.00%,-96.00%,Micronesia (Federated States of),1
FJ,"March 15, 2021",2,-50.00%,-75.20%,Fiji,63
WS,"March 16, 2021",11,0.00%,-96.67%,Samoa,1
VU,"March 16, 2021",3,17.24%,-46.88%,Vanuatu,34
TO,"March 16, 2021",5,50.00%,-80.00%,Tonga,3
SB,"March 16, 2021",4,100.00%,-80.95%,Solomon Islands,4
PW,"March 16, 2021",10,0.00%,-94.44%,Palau,1
PG,"March 16, 2021",1,-10.86%,51.13%,Papua New Guinea,402
NR,"March 16, 2021",9,0.00%,-90.00%,Nauru,1
MH,"March 16, 2021",8,-50.00%,-87.50%,Marshall Islands (the),1
KI,"March 16, 2021",7,100.00%,-75.00%,Kiribati,2
FM,"March 16, 2021",6,100.00%,-91.67%,Micronesia (Federated States of),2
FJ,"March 16, 2021",2,-52.94%,-78.04%,Fiji,56
WS,"March 17, 2021",9,100.00%,-92.59%,Samoa,2
VU,"March 17, 2021",3,6.67%,-50.77%,Vanuatu,32
TV,"March 17, 2021",12,,-66.67%,Tuvalu,1
TO,"March 17, 2021",5,200.00%,-80.00%,Tonga,3
SB,"March 17, 2021",4,100.00%,-80.95%,Solomon Islands,4
PW,"March 17, 2021",11,0.00%,-94.44%,Palau,1
PG,"March 17, 2021",1,-10.86%,57.03%,Papua New Guinea,402
NR,"March 17, 2021",8,100.00%,-80.00%,Nauru,2
MH,"March 17, 2021",10,-50.00%,-88.89%,Marshall Islands (the),1
KI,"March 17, 2021",7,100.00%,-71.43%,Kiribati,2
FM,"March 17, 2021",6,100.00%,-91.30%,Micronesia (Federated States of),2
FJ,"March 17, 2021",2,-56.64%,-80.16%,Fiji,49
WS,"March 18, 2021",9,100.00%,-92.31%,Samoa,2
VU,"March 18, 2021",3,17.24%,-48.48%,Vanuatu,34
TV,"March 18, 2021",11,,-66.67%,Tuvalu,1
TO,"March 18, 2021",6,200.00%,-78.57%,Tonga,3
SB,"March 18, 2021",4,100.00%,-81.82%,Solomon Islands,4
PG,"March 18, 2021",1,-7.27%,55.73%,Papua New Guinea,408
NR,"March 18, 2021",5,200.00%,-70.00%,Nauru,3
MH,"March 18, 2021",10,-50.00%,-90.91%,Marshall Islands (the),1
KI,"March 18, 2021",8,100.00%,-75.00%,Kiribati,2
FM,"March 18, 2021",7,100.00%,-92.00%,Micronesia (Federated States of),2
FJ,"March 18, 2021",2,-61.54%,-84.06%,Fiji,40
WS,"March 19, 2021",9,100.00%,-93.33%,Samoa,2
VU,"March 19, 2021",3,6.45%,-48.44%,Vanuatu,33
TV,"March 19, 2021",11,,-66.67%,Tuvalu,1
TO,"March 19, 2021",8,0.00%,-86.67%,Tonga,2
SB,"March 19, 2021",4,100.00%,-80.95%,Solomon Islands,4
PG,"March 19, 2021",1,-8.18%,47.99%,Papua New Guinea,404
NR,"March 19, 2021",5,,-70.00%,Nauru,3
MH,"March 19, 2021",10,0.00%,-90.91%,Marshall Islands (the),1
KI,"March 19, 2021",7,100.00%,-71.43%,Kiribati,2
FM,"March 19, 2021",6,100.00%,-92.00%,Micronesia (Federated States of),2
FJ,"March 19, 2021",2,-57.45%,-84.25%,Fiji,40
WS,"March 20, 2021",8,100.00%,-93.33%,Samoa,2
VU,"March 20, 2021",3,-19.44%,-53.97%,Vanuatu,29
TV,"March 20, 2021",11,,-66.67%,Tuvalu,1
TO,"March 20, 2021",7,0.00%,-86.67%,Tonga,2
SB,"March 20, 2021",4,100.00%,-80.95%,Solomon Islands,4
PG,"March 20, 2021",1,-12.50%,34.15%,Papua New Guinea,385
NR,"March 20, 2021",6,,-70.00%,Nauru,3
MH,"March 20, 2021",10,0.00%,-90.91%,Marshall Islands (the),1
KI,"March 20, 2021",9,0.00%,-85.71%,Kiribati,1
FM,"March 20, 2021",5,,-88.00%,Micronesia (Federated States of),3
FJ,"March 20, 2021",2,-46.34%,-82.95%,Fiji,44
WS,"March 21, 2021",8,100.00%,-93.55%,Samoa,2
VU,"March 21, 2021",3,-28.95%,-56.45%,Vanuatu,27
TV,"March 21, 2021",12,,-66.67%,Tuvalu,1
TO,"March 21, 2021",7,0.00%,-87.50%,Tonga,2
SB,"March 21, 2021",5,0.00%,-85.71%,Solomon Islands,3
PW,"March 21, 2021",11,0.00%,-95.00%,Palau,1
PG,"March 21, 2021",1,-7.67%,35.96%,Papua New Guinea,397
NR,"March 21, 2021",4,,-66.67%,Nauru,3
MH,"March 21, 2021",10,0.00%,-91.67%,Marshall Islands (the),1
KI,"March 21, 2021",9,0.00%,-85.71%,Kiribati,1
FM,"March 21, 2021",6,100.00%,-92.59%,Micronesia (Federated States of),2
FJ,"March 21, 2021",2,-30.00%,-81.37%,Fiji,49
WS,"March 22, 2021",7,100.00%,-93.75%,Samoa,2
VU,"March 22, 2021",3,-23.68%,-50.85%,Vanuatu,29
TV,"March 22, 2021",11,,-66.67%,Tuvalu,1
TO,"March 22, 2021",10,-66.67%,-93.75%,Tonga,1
SB,"March 22, 2021",4,33.33%,-80.00%,Solomon Islands,4
PW,"March 22, 2021",9,0.00%,-95.24%,Palau,1
PG,"March 22, 2021",1,-7.99%,29.25%,Papua New Guinea,380
NR,"March 22, 2021",6,100.00%,-77.78%,Nauru,2
KI,"March 22, 2021",8,0.00%,-83.33%,Kiribati,1
FM,"March 22, 2021",5,100.00%,-92.59%,Micronesia (Federated States of),2
FJ,"March 22, 2021",2,-11.11%,-78.63%,Fiji,56
WS,"March 23, 2021",5,200.00%,-90.63%,Samoa,3
VU,"March 23, 2021",3,-11.76%,-49.15%,Vanuatu,30
TV,"March 23, 2021",10,,-66.67%,Tuvalu,1
TO,"March 23, 2021",9,-66.67%,-94.12%,Tonga,1
SB,"March 23, 2021",4,-25.00%,-85.00%,Solomon Islands,3
PW,"March 23, 2021",8,0.00%,-95.45%,Palau,1
PG,"March 23, 2021",1,-13.18%,11.86%,Papua New Guinea,349
NR,"March 23, 2021",6,100.00%,-75.00%,Nauru,2
FM,"March 23, 2021",7,-50.00%,-96.43%,Micronesia (Federated States of),1
FJ,"March 23, 2021",2,19.64%,-74.13%,Fiji,67
WS,"March 24, 2021",5,0.00%,-94.44%,Samoa,2
VU,"March 24, 2021",3,0.00%,-45.76%,Vanuatu,32
TO,"March 24, 2021",9,-66.67%,-94.12%,Tonga,1
SB,"March 24, 2021",4,-25.00%,-85.00%,Solomon Islands,3
PW,"March 24, 2021",8,0.00%,-95.65%,Palau,1
PG,"March 24, 2021",1,-26.37%,-8.36%,Papua New Guinea,296
NR,"March 24, 2021",7,-50.00%,-87.50%,Nauru,1
FM,"March 24, 2021",6,-50.00%,-96.55%,Micronesia (Federated States of),1
FJ,"March 24, 2021",2,59.18%,-70.23%,Fiji,78
WS,"March 25, 2021",4,200.00%,-83.78%,Samoa,6
VU,"March 25, 2021",3,-14.71%,-50.85%,Vanuatu,29
TO,"March 25, 2021",6,-33.33%,-88.24%,Tonga,2
SB,"March 25, 2021",5,-25.00%,-85.00%,Solomon Islands,3
PW,"March 25, 2021",8,,-95.65%,Palau,1
