,Date,Country,Seats_arrivals_intl,Number_of_flights_intl
225,2019-08-14,Papua New Guinea,1491,9
226,2019-08-15,Papua New Guinea,1187,5
227,2019-08-16,Papua New Guinea,1188,5
228,2019-08-17,Papua New Guinea,1431,8
229,2019-08-18,Papua New Guinea,771,4
230,2019-08-19,Papua New Guinea,1634,8
231,2019-08-20,Papua New Guinea,777,3
232,2019-08-21,Papua New Guinea,1268,7
233,2019-08-22,Papua New Guinea,1171,6
234,2019-08-23,Papua New Guinea,1129,4
235,2019-08-24,Papua New Guinea,1504,9
236,2019-08-25,Papua New Guinea,653,3
237,2019-08-26,Papua New Guinea,1662,7
238,2019-08-27,Papua New Guinea,911,4
239,2019-08-28,Papua New Guinea,1205,6
240,2019-08-29,Papua New Guinea,1243,6
241,2019-08-30,Papua New Guinea,1028,3
242,2019-08-31,Papua New Guinea,1403,8
243,2019-09-01,Papua New Guinea,881,6
244,2019-09-02,Papua New Guinea,1743,8
245,2019-09-03,Papua New Guinea,965,4
246,2019-09-04,Papua New Guinea,1109,6
247,2019-09-05,Papua New Guinea,1420,6
248,2019-09-06,Papua New Guinea,1217,5
249,2019-09-07,Papua New Guinea,1504,9
250,2019-09-08,Papua New Guinea,799,4
251,2019-09-09,Papua New Guinea,1680,8
252,2019-09-10,Papua New Guinea,891,4
253,2019-09-11,Papua New Guinea,1205,6
254,2019-09-12,Papua New Guinea,1426,6
255,2019-09-13,Papua New Guinea,1245,5
256,2019-09-14,Papua New Guinea,1575,9
257,2019-09-15,Papua New Guinea,726,4
258,2019-09-16,Papua New Guinea,1763,8
259,2019-09-17,Papua New Guinea,993,4
260,2019-09-18,Papua New Guinea,1205,6
261,2019-09-19,Papua New Guinea,1327,6
262,2019-09-20,Papua New Guinea,1245,5
263,2019-09-21,Papua New Guinea,1532,9
264,2019-09-22,Papua New Guinea,498,2
265,2019-09-23,Papua New Guinea,1634,8
266,2019-09-24,Papua New Guinea,993,4
267,2019-09-25,Papua New Guinea,1153,6
268,2019-09-26,Papua New Guinea,1519,7
