,Date,Country,Seats_arrivals_intl,Number_of_flights_intl
198,2019-07-18,Micronesia (Federated States of),166.0,1.0
199,2019-07-19,Micronesia (Federated States of),0.0,0.0
200,2019-07-20,Micronesia (Federated States of),531.0,3.0
201,2019-07-21,Micronesia (Federated States of),166.0,1.0
202,2019-07-22,Micronesia (Federated States of),0.0,0.0
203,2019-07-23,Micronesia (Federated States of),332.0,2.0
204,2019-07-24,Micronesia (Federated States of),0.0,0.0
205,2019-07-25,Micronesia (Federated States of),332.0,2.0
206,2019-07-26,Micronesia (Federated States of),0.0,0.0
207,2019-07-27,Micronesia (Federated States of),531.0,3.0
208,2019-07-28,Micronesia (Federated States of),166.0,1.0
209,2019-07-29,Micronesia (Federated States of),166.0,1.0
210,2019-07-30,Micronesia (Federated States of),292.0,2.0
211,2019-07-31,Micronesia (Federated States of),0.0,0.0
212,2019-08-01,Micronesia (Federated States of),166.0,1.0
213,2019-08-02,Micronesia (Federated States of),0.0,0.0
214,2019-08-03,Micronesia (Federated States of),531.0,3.0
215,2019-08-04,Micronesia (Federated States of),166.0,1.0
216,2019-08-05,Micronesia (Federated States of),166.0,1.0
217,2019-08-06,Micronesia (Federated States of),332.0,2.0
218,2019-08-07,Micronesia (Federated States of),0.0,0.0
219,2019-08-08,Micronesia (Federated States of),166.0,1.0
220,2019-08-09,Micronesia (Federated States of),0.0,0.0
221,2019-08-10,Micronesia (Federated States of),531.0,3.0
222,2019-08-11,Micronesia (Federated States of),166.0,1.0
223,2019-08-12,Micronesia (Federated States of),166.0,1.0
224,2019-08-13,Micronesia (Federated States of),498.0,3.0
225,2019-08-14,Micronesia (Federated States of),0.0,0.0
226,2019-08-15,Micronesia (Federated States of),166.0,1.0
227,2019-08-16,Micronesia (Federated States of),0.0,0.0
228,2019-08-17,Micronesia (Federated States of),458.0,2.0
229,2019-08-18,Micronesia (Federated States of),0.0,0.0
230,2019-08-19,Micronesia (Federated States of),166.0,1.0
231,2019-08-20,Micronesia (Federated States of),332.0,2.0
232,2019-08-21,Micronesia (Federated States of),0.0,0.0
233,2019-08-22,Micronesia (Federated States of),166.0,1.0
234,2019-08-23,Micronesia (Federated States of),0.0,0.0
235,2019-08-24,Micronesia (Federated States of),531.0,3.0
236,2019-08-25,Micronesia (Federated States of),239.0,2.0
237,2019-08-26,Micronesia (Federated States of),166.0,1.0
238,2019-08-27,Micronesia (Federated States of),332.0,2.0
239,2019-08-28,Micronesia (Federated States of),0.0,0.0
240,2019-08-29,Micronesia (Federated States of),166.0,1.0
241,2019-08-30,Micronesia (Federated States of),0.0,0.0
242,2019-08-31,Micronesia (Federated States of),531.0,3.0
243,2019-09-01,Micronesia (Federated States of),166.0,1.0
244,2019-09-02,Micronesia (Federated States of),0.0,0.0
245,2019-09-03,Micronesia (Federated States of),332.0,2.0
246,2019-09-04,Micronesia (Federated States of),0.0,0.0
247,2019-09-05,Micronesia (Federated States of),166.0,1.0
248,2019-09-06,Micronesia (Federated States of),0.0,0.0
249,2019-09-07,Micronesia (Federated States of),458.0,2.0
250,2019-09-08,Micronesia (Federated States of),166.0,1.0
251,2019-09-09,Micronesia (Federated States of),166.0,1.0
252,2019-09-10,Micronesia (Federated States of),332.0,2.0
253,2019-09-11,Micronesia (Federated States of),0.0,0.0
