,Date,Country,Seats_arrivals_intl,Number_of_flights_intl
179,2019-06-29,Vanuatu,652.0,4.0
180,2019-06-30,Vanuatu,742.0,5.0
181,2019-07-01,Vanuatu,686.0,4.0
182,2019-07-02,Vanuatu,524.0,4.0
183,2019-07-03,Vanuatu,414.0,3.0
184,2019-07-04,Vanuatu,578.0,4.0
185,2019-07-05,Vanuatu,328.0,2.0
186,2019-07-06,Vanuatu,652.0,4.0
187,2019-07-07,Vanuatu,572.0,4.0
188,2019-07-08,Vanuatu,550.0,3.0
189,2019-07-09,Vanuatu,552.0,4.0
190,2019-07-10,Vanuatu,584.0,4.0
191,2019-07-11,Vanuatu,238.0,2.0
192,2019-07-12,Vanuatu,328.0,2.0
193,2019-07-13,Vanuatu,652.0,4.0
194,2019-07-14,Vanuatu,572.0,4.0
195,2019-07-15,Vanuatu,686.0,4.0
196,2019-07-16,Vanuatu,484.0,3.0
197,2019-07-17,Vanuatu,414.0,3.0
198,2019-07-18,Vanuatu,408.0,3.0
199,2019-07-19,Vanuatu,328.0,2.0
200,2019-07-20,Vanuatu,652.0,4.0
201,2019-07-21,Vanuatu,730.0,5.0
202,2019-07-22,Vanuatu,550.0,4.0
203,2019-07-23,Vanuatu,552.0,4.0
204,2019-07-24,Vanuatu,414.0,3.0
205,2019-07-25,Vanuatu,408.0,3.0
206,2019-07-26,Vanuatu,328.0,2.0
207,2019-07-27,Vanuatu,584.0,4.0
208,2019-07-28,Vanuatu,572.0,4.0
209,2019-07-29,Vanuatu,686.0,4.0
210,2019-07-30,Vanuatu,552.0,4.0
211,2019-07-31,Vanuatu,414.0,3.0
212,2019-08-01,Vanuatu,408.0,3.0
213,2019-08-02,Vanuatu,328.0,2.0
214,2019-08-03,Vanuatu,652.0,4.0
215,2019-08-04,Vanuatu,572.0,4.0
216,2019-08-05,Vanuatu,686.0,4.0
217,2019-08-06,Vanuatu,552.0,4.0
218,2019-08-07,Vanuatu,414.0,3.0
219,2019-08-08,Vanuatu,408.0,3.0
220,2019-08-09,Vanuatu,328.0,2.0
221,2019-08-10,Vanuatu,652.0,4.0
222,2019-08-11,Vanuatu,572.0,4.0
223,2019-08-12,Vanuatu,686.0,4.0
224,2019-08-13,Vanuatu,552.0,4.0
225,2019-08-14,Vanuatu,414.0,3.0
226,2019-08-15,Vanuatu,408.0,3.0
227,2019-08-16,Vanuatu,328.0,2.0
228,2019-08-17,Vanuatu,584.0,4.0
229,2019-08-18,Vanuatu,674.0,4.0
230,2019-08-19,Vanuatu,686.0,4.0
231,2019-08-20,Vanuatu,552.0,4.0
232,2019-08-21,Vanuatu,414.0,3.0
233,2019-08-22,Vanuatu,408.0,3.0
234,2019-08-23,Vanuatu,328.0,2.0
235,2019-08-24,Vanuatu,652.0,4.0
236,2019-08-25,Vanuatu,742.0,5.0
237,2019-08-26,Vanuatu,550.0,3.0
238,2019-08-27,Vanuatu,552.0,4.0
239,2019-08-28,Vanuatu,414.0,3.0
240,2019-08-29,Vanuatu,408.0,3.0
241,2019-08-30,Vanuatu,328.0,2.0
242,2019-08-31,Vanuatu,652.0,4.0
243,2019-09-01,Vanuatu,572.0,4.0
244,2019-09-02,Vanuatu,686.0,4.0
245,2019-09-03,Vanuatu,552.0,4.0
246,2019-09-04,Vanuatu,414.0,3.0
247,2019-09-05,Vanuatu,408.0,3.0
248,2019-09-06,Vanuatu,328.0,2.0
249,2019-09-07,Vanuatu,652.0,4.0
250,2019-09-08,Vanuatu,572.0,4.0
251,2019-09-09,Vanuatu,686.0,4.0
252,2019-09-10,Vanuatu,552.0,4.0
253,2019-09-11,Vanuatu,414.0,3.0
254,2019-09-12,Vanuatu,408.0,3.0
255,2019-09-13,Vanuatu,328.0,2.0
256,2019-09-14,Vanuatu,652.0,4.0
257,2019-09-15,Vanuatu,572.0,4.0
258,2019-09-16,Vanuatu,686.0,4.0
259,2019-09-17,Vanuatu,552.0,4.0
260,2019-09-18,Vanuatu,414.0,3.0
261,2019-09-19,Vanuatu,408.0,3.0
262,2019-09-20,Vanuatu,328.0,2.0
263,2019-09-21,Vanuatu,652.0,4.0
264,2019-09-22,Vanuatu,572.0,4.0
265,2019-09-23,Vanuatu,550.0,4.0
266,2019-09-24,Vanuatu,524.0,4.0
267,2019-09-25,Vanuatu,414.0,3.0
268,2019-09-26,Vanuatu,408.0,3.0
269,2019-09-27,Vanuatu,328.0,2.0
270,2019-09-28,Vanuatu,652.0,4.0
271,2019-09-29,Vanuatu,572.0,4.0
272,2019-09-30,Vanuatu,550.0,3.0
273,2019-10-01,Vanuatu,456.0,3.0
274,2019-10-02,Vanuatu,414.0,3.0
275,2019-10-03,Vanuatu,408.0,3.0
276,2019-10-04,Vanuatu,328.0,2.0
277,2019-10-05,Vanuatu,652.0,4.0
278,2019-10-06,Vanuatu,572.0,4.0
279,2019-10-07,Vanuatu,686.0,4.0
280,2019-10-08,Vanuatu,552.0,4.0
281,2019-10-09,Vanuatu,414.0,3.0
282,2019-10-10,Vanuatu,408.0,3.0
283,2019-10-11,Vanuatu,328.0,2.0
284,2019-10-12,Vanuatu,652.0,4.0
285,2019-10-13,Vanuatu,572.0,4.0
286,2019-10-14,Vanuatu,686.0,4.0
287,2019-10-15,Vanuatu,524.0,4.0
288,2019-10-16,Vanuatu,346.0,2.0
289,2019-10-17,Vanuatu,408.0,3.0
290,2019-10-18,Vanuatu,328.0,2.0
291,2019-10-19,Vanuatu,652.0,4.0
292,2019-10-20,Vanuatu,572.0,4.0
293,2019-10-21,Vanuatu,686.0,4.0
294,2019-10-22,Vanuatu,552.0,4.0
295,2019-10-23,Vanuatu,414.0,3.0
296,2019-10-24,Vanuatu,408.0,3.0
297,2019-10-25,Vanuatu,328.0,2.0
298,2019-10-26,Vanuatu,797.0,5.0
299,2019-10-27,Vanuatu,396.0,3.0
300,2019-10-28,Vanuatu,686.0,4.0
301,2019-10-29,Vanuatu,552.0,4.0
302,2019-10-30,Vanuatu,414.0,3.0
303,2019-10-31,Vanuatu,408.0,3.0
304,2019-11-01,Vanuatu,328.0,2.0
305,2019-11-02,Vanuatu,744.0,5.0
306,2019-11-03,Vanuatu,396.0,3.0
307,2019-11-04,Vanuatu,856.0,5.0
308,2019-11-05,Vanuatu,382.0,3.0
309,2019-11-06,Vanuatu,414.0,3.0
310,2019-11-07,Vanuatu,408.0,3.0
311,2019-11-08,Vanuatu,316.0,2.0
312,2019-11-09,Vanuatu,652.0,4.0
313,2019-11-10,Vanuatu,578.0,3.0
314,2019-11-11,Vanuatu,844.0,5.0
315,2019-11-12,Vanuatu,552.0,4.0
316,2019-11-13,Vanuatu,414.0,3.0
317,2019-11-14,Vanuatu,408.0,3.0
318,2019-11-15,Vanuatu,328.0,2.0
319,2019-11-16,Vanuatu,652.0,4.0
320,2019-11-17,Vanuatu,396.0,3.0
321,2019-11-18,Vanuatu,686.0,4.0
322,2019-11-19,Vanuatu,552.0,4.0
323,2019-11-20,Vanuatu,506.0,4.0
324,2019-11-21,Vanuatu,408.0,3.0
325,2019-11-22,Vanuatu,328.0,2.0
326,2019-11-23,Vanuatu,652.0,4.0
327,2019-11-24,Vanuatu,396.0,3.0
328,2019-11-25,Vanuatu,686.0,4.0
329,2019-11-26,Vanuatu,552.0,4.0
330,2019-11-27,Vanuatu,414.0,3.0
331,2019-11-28,Vanuatu,408.0,3.0
332,2019-11-29,Vanuatu,328.0,2.0
333,2019-11-30,Vanuatu,652.0,4.0
334,2019-12-01,Vanuatu,396.0,3.0
335,2019-12-02,Vanuatu,686.0,4.0
336,2019-12-03,Vanuatu,456.0,3.0
337,2019-12-04,Vanuatu,482.0,4.0
338,2019-12-05,Vanuatu,408.0,3.0
339,2019-12-06,Vanuatu,328.0,2.0
340,2019-12-07,Vanuatu,652.0,4.0
341,2019-12-08,Vanuatu,396.0,3.0
342,2019-12-09,Vanuatu,686.0,4.0
343,2019-12-10,Vanuatu,552.0,4.0
344,2019-12-11,Vanuatu,414.0,3.0
345,2019-12-12,Vanuatu,408.0,3.0
346,2019-12-13,Vanuatu,316.0,2.0
347,2019-12-14,Vanuatu,822.0,5.0
348,2019-12-15,Vanuatu,742.0,5.0
349,2019-12-16,Vanuatu,686.0,4.0
350,2019-12-17,Vanuatu,552.0,4.0
351,2019-12-18,Vanuatu,414.0,3.0
352,2019-12-19,Vanuatu,408.0,3.0
353,2019-12-20,Vanuatu,316.0,2.0
354,2019-12-21,Vanuatu,652.0,4.0
355,2019-12-22,Vanuatu,402.0,3.0
356,2019-12-23,Vanuatu,686.0,4.0
357,2019-12-24,Vanuatu,552.0,4.0
358,2019-12-25,Vanuatu,408.0,2.0
359,2019-12-26,Vanuatu,754.0,5.0
360,2019-12-27,Vanuatu,492.0,3.0
361,2019-12-28,Vanuatu,516.0,3.0
362,2019-12-29,Vanuatu,742.0,4.0
363,2019-12-30,Vanuatu,832.0,5.0
364,2019-12-31,Vanuatu,552.0,4.0
365,2020-01-01,Vanuatu,414.0,3.0
366,2020-01-02,Vanuatu,408.0,3.0
367,2020-01-03,Vanuatu,492.0,3.0
368,2020-01-04,Vanuatu,652.0,4.0
369,2020-01-05,Vanuatu,560.0,4.0
370,2020-01-06,Vanuatu,832.0,5.0
371,2020-01-07,Vanuatu,524.0,4.0
372,2020-01-08,Vanuatu,414.0,3.0
373,2020-01-09,Vanuatu,408.0,3.0
374,2020-01-10,Vanuatu,492.0,3.0
375,2020-01-11,Vanuatu,652.0,4.0
376,2020-01-12,Vanuatu,572.0,4.0
377,2020-01-13,Vanuatu,832.0,5.0
378,2020-01-14,Vanuatu,524.0,4.0
379,2020-01-15,Vanuatu,584.0,4.0
380,2020-01-16,Vanuatu,408.0,3.0
381,2020-01-17,Vanuatu,486.0,2.0
382,2020-01-18,Vanuatu,754.0,4.0
383,2020-01-19,Vanuatu,626.0,4.0
384,2020-01-20,Vanuatu,832.0,5.0
385,2020-01-21,Vanuatu,552.0,4.0
386,2020-01-22,Vanuatu,414.0,3.0
387,2020-01-23,Vanuatu,408.0,3.0
388,2020-01-24,Vanuatu,316.0,2.0
389,2020-01-25,Vanuatu,652.0,4.0
390,2020-01-26,Vanuatu,396.0,3.0
391,2020-01-27,Vanuatu,866.0,6.0
392,2020-01-28,Vanuatu,620.0,3.0
393,2020-01-29,Vanuatu,414.0,3.0
394,2020-01-30,Vanuatu,408.0,3.0
395,2020-01-31,Vanuatu,554.0,3.0
396,2020-02-01,Vanuatu,298.0,2.0
397,2020-02-02,Vanuatu,226.0,2.0
398,2020-02-03,Vanuatu,244.0,2.0
399,2020-02-04,Vanuatu,212.0,2.0
400,2020-02-05,Vanuatu,244.0,2.0
401,2020-02-06,Vanuatu,0.0,0.0
402,2020-02-07,Vanuatu,146.0,1.0
403,2020-02-08,Vanuatu,340.0,2.0
404,2020-02-09,Vanuatu,226.0,2.0
405,2020-02-10,Vanuatu,244.0,2.0
406,2020-02-11,Vanuatu,212.0,2.0
407,2020-02-12,Vanuatu,244.0,2.0
408,2020-02-13,Vanuatu,0.0,0.0
409,2020-02-14,Vanuatu,650.0,3.0
410,2020-02-15,Vanuatu,516.0,3.0
411,2020-02-16,Vanuatu,396.0,3.0
412,2020-02-17,Vanuatu,414.0,3.0
413,2020-02-18,Vanuatu,382.0,3.0
414,2020-02-19,Vanuatu,414.0,3.0
415,2020-02-20,Vanuatu,170.0,1.0
416,2020-02-21,Vanuatu,328.0,2.0
417,2020-02-22,Vanuatu,516.0,3.0
418,2020-02-23,Vanuatu,396.0,3.0
419,2020-02-24,Vanuatu,426.0,3.0
420,2020-02-25,Vanuatu,314.0,2.0
421,2020-02-26,Vanuatu,414.0,3.0
422,2020-02-27,Vanuatu,170.0,1.0
423,2020-02-28,Vanuatu,328.0,2.0
424,2020-02-29,Vanuatu,516.0,3.0
425,2020-03-01,Vanuatu,396.0,3.0
426,2020-03-02,Vanuatu,426.0,3.0
427,2020-03-03,Vanuatu,314.0,2.0
428,2020-03-04,Vanuatu,346.0,2.0
429,2020-03-05,Vanuatu,170.0,1.0
430,2020-03-06,Vanuatu,328.0,2.0
431,2020-03-07,Vanuatu,516.0,3.0
432,2020-03-08,Vanuatu,384.0,3.0
433,2020-03-09,Vanuatu,686.0,4.0
434,2020-03-10,Vanuatu,484.0,3.0
435,2020-03-11,Vanuatu,414.0,3.0
436,2020-03-12,Vanuatu,170.0,1.0
437,2020-03-13,Vanuatu,328.0,2.0
438,2020-03-14,Vanuatu,680.0,4.0
439,2020-03-15,Vanuatu,554.0,4.0
440,2020-03-16,Vanuatu,686.0,4.0
441,2020-03-17,Vanuatu,484.0,3.0
442,2020-03-18,Vanuatu,584.0,4.0
443,2020-03-19,Vanuatu,340.0,2.0
444,2020-03-20,Vanuatu,486.0,2.0
445,2020-03-21,Vanuatu,516.0,2.0
446,2020-03-22,Vanuatu,170.0,1.0
447,2020-03-23,Vanuatu,170.0,1.0
448,2020-03-24,Vanuatu,0.0,0.0
